round_epochs,loss,tp,fp,tn,fn,categorical_accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_categorical_accuracy,val_precision,val_recall,val_auc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,lr,optimizer,regularizer
100,1.4857373237609863,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.732535183429718,1.5104727745056152,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,16,0.4,100,64,1,GlorotUniform,softmax,0.01,nadam,None
100,1.4851447343826294,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326776385307312,1.51009202003479,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,64,0.2,100,64,3,RandomUniform,softmax,0.05,adam,l1
100,1.0727216005325317,5457.0,2545.0,57270.0,6506.0,0.59784334897995,0.6819545030593872,0.45615649223327637,0.8831178545951843,1.422266960144043,1687.0,1602.0,24033.0,3440.0,0.46674469113349915,0.5129218697547913,0.32904231548309326,0.8081353306770325,tanh,256,0,100,16,5,GlorotUniform,softmax,0.01,nadam,l2
100,1.485229730606079,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325077056884766,1.5102136135101318,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,16,0.4,100,16,3,GlorotNormal,softmax,0.001,nadam,l1
100,1.4852566719055176,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326675653457642,1.5102185010910034,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,16,0.4,100,128,3,RandomUniform,softmax,0.001,nadam,None
100,1.4852572679519653,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325772047042847,1.5102512836456299,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,16,0.2,100,64,3,RandomUniform,softmax,0.001,adam,l1
100,1.4025801420211792,200.0,136.0,59679.0,11763.0,0.4442029595375061,0.5952380895614624,0.016718214377760887,0.7851334810256958,1.4000487327575684,597.0,280.0,25355.0,4530.0,0.4435342252254486,0.6807297468185425,0.11644236743450165,0.7865778803825378,softmax,16,0,100,16,1,RandomUniform,softmax,0.001,adam,l1_l2
100,1.4852674007415771,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7323578596115112,1.510218858718872,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,16,0,100,128,5,RandomNormal,softmax,0.001,adam,l1
100,1.4852293729782104,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7337236404418945,1.5103486776351929,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,16,0.6,100,64,5,RandomUniform,softmax,0.01,adam,l2
100,1.4852571487426758,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325772047042847,1.5102512836456299,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,16,0.4,100,16,5,RandomUniform,softmax,0.05,adam,l1
100,1.4860974550247192,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7328941822052002,1.5100343227386475,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,128,0.2,100,128,1,RandomUniform,softmax,0.05,nadam,l1
